Liga,Eq_Local,Eq_Visitante,Jugadora_Saque,Equipo_Saque,Mano_Dominante,Rol_Sac,Tipo_Saque,Zona_Saque,Num_Set,Marcador_Local,Marcador_Visitante,Col_Rival,Zona_Recep,Rol_Rec,Valoracion_Saque
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,9,3,R5,ZonaConflicto_16,Zaguera,!
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,21,13,R5,ZonaConflicto_16,Zaguera,-
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,4,4,R4,Zona5,Delantera,-
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,5,4,R4,ZonaConflicto_16,Libero,/
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,6,4,R4,Zona6,Zaguera,#
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,7,4,R4,Zona1,Libero,-
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,8,4,R4,Zona1,Libero,+
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,18,12,R1,ZonaConflicto_56,Libero,/
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,19,12,R1,ZonaConflicto_16,Delantera,=
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,3,4,R5,ZonaConflicto_56,Delantera,-
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,4,4,R5,Zona1,Libero,-
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,5,4,R5,ZonaConflicto_56,Delantera,-
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,11,6,R3,Zona5,Delantera,+
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,12,6,R3,ZonaConflicto_56,Delantera,=
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,22,14,R5,Zona6,Zaguera,-
Superliga2,CV_Sant_Cugat,Elite_volei,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,23,14,R5,Zona5,Delantera,-
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,5,3,R5,Zona6,Zaguera,#
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,6,3,R5,Zona5,Delantera,-
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,16,10,R5,ZonaConflicto_56,Delantera,#
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,17,10,R5,ZonaConflicto_56,Delantera,/
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,18,10,R5,ZonaConflicto_56,Delantera,-
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,19,10,R5,ZonaConflicto_56,Zaguera,!
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,3,5,R3,Zona5,Delantera,=
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,5,6,R4,Zona5,Delantera,=
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,14,15,R4,Zona6,Zaguera,+
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,15,15,R4,ZonaConflicto_56,Zaguera,+
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,4,5,3,R3,Zona5,Delantera,+
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,4,6,3,R3,ZonaConflicto_56,Delantera,-
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,4,24,19,R3,ZonaConflicto_56,Libero,!
Superliga2,CV_Sant_Cugat,CV_Melilla,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,5,5,6,R4,ZonaConflicto_56,Zaguera,+
Superliga2,CV_Sant_Cugat,Js_Hotels,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,3,6,R5,Zona6,Zaguera,!
Superliga2,CV_Sant_Cugat,Js_Hotels,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,1,15,13,R5,Zona6,Zaguera,-
Superliga2,CV_Sant_Cugat,Js_Hotels,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,3,6,R5,Zona6,Zaguera,!
Superliga2,CV_Sant_Cugat,Js_Hotels,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,2,15,14,R5,Zona5,Delantera,+
Superliga2,CV_Sant_Cugat,Js_Hotels,Claudia_Nieto,CV_Sant_Cugat,Derecha,Opuesta,Float_Salto,Zona1,3,5,3,R5,Zona6,Zaguera,-
